network_id,station_id,gap_length,season,placement,gap_start,model_family,mae_deg_c,seed
arso_drava,2005,7,DJF,0,2020-01-01,neural_bilstm,0.6256073713302612,1
arso_drava,2005,7,JJA,1,2020-06-14,neural_bilstm,1.2003295421600342,1
arso_drava,2005,7,SON,2,2020-11-27,neural_bilstm,1.049953818321228,1
arso_drava,2005,7,MAM,3,2021-05-12,neural_bilstm,0.6812272667884827,1
arso_drava,2005,7,SON,4,2021-10-25,neural_bilstm,1.2887884378433228,1
arso_drava,2005,30,DJF,0,2020-01-01,neural_bilstm,0.2520147264003753,1
arso_drava,2005,30,JJA,1,2020-06-12,neural_bilstm,0.7670086622238159,1
arso_drava,2005,30,SON,2,2020-11-22,neural_bilstm,1.0352083444595337,1
arso_drava,2005,30,MAM,3,2021-05-04,neural_bilstm,1.1882435083389282,1
arso_drava,2005,30,SON,4,2021-10-14,neural_bilstm,0.2256922721862793,1
arso_drava,2005,90,DJF,0,2020-01-01,neural_bilstm,0.7203621864318848,1
arso_drava,2005,90,JJA,1,2020-06-04,neural_bilstm,1.0701041221618652,1
arso_drava,2005,90,SON,2,2020-11-07,neural_bilstm,0.7131869792938232,1
arso_drava,2005,90,MAM,3,2021-04-11,neural_bilstm,0.744074821472168,1
arso_drava,2005,90,SON,4,2021-09-14,neural_bilstm,0.5715012550354004,1
arso_drava,2150,7,DJF,0,2020-01-01,neural_bilstm,0.5873374938964844,1
arso_drava,2150,7,JJA,1,2020-06-14,neural_bilstm,2.0907680988311768,1
arso_drava,2150,7,SON,2,2020-11-27,neural_bilstm,0.6444535851478577,1
arso_drava,2150,7,MAM,3,2021-05-12,neural_bilstm,0.6495682597160339,1
arso_drava,2150,7,SON,4,2021-10-25,neural_bilstm,1.4850924015045166,1
arso_drava,2150,30,DJF,0,2020-01-01,neural_bilstm,0.3302031755447387,1
arso_drava,2150,30,JJA,1,2020-06-12,neural_bilstm,2.2539303302764893,1
arso_drava,2150,30,SON,2,2020-11-22,neural_bilstm,0.6875086426734924,1
arso_drava,2150,30,MAM,3,2021-05-04,neural_bilstm,0.6339023113250732,1
arso_drava,2150,30,SON,4,2021-10-14,neural_bilstm,1.8267974853515625,1
arso_drava,2150,90,DJF,0,2020-01-01,neural_bilstm,0.8017736077308655,1
arso_drava,2150,90,JJA,1,2020-06-04,neural_bilstm,2.8136024475097656,1
arso_drava,2150,90,SON,2,2020-11-07,neural_bilstm,1.0103585720062256,1
arso_drava,2150,90,MAM,3,2021-04-11,neural_bilstm,1.072202444076538,1
arso_drava,2150,90,SON,4,2021-09-14,neural_bilstm,1.5540646314620972,1
arso_drava,2160,7,DJF,0,2020-01-01,neural_bilstm,0.8779367208480835,1
arso_drava,2160,7,JJA,1,2020-06-14,neural_bilstm,0.5841280817985535,1
arso_drava,2160,7,SON,2,2020-11-27,neural_bilstm,0.1646443158388137,1
arso_drava,2160,7,MAM,3,2021-05-12,neural_bilstm,0.6900956034660339,1
arso_drava,2160,7,SON,4,2021-10-25,neural_bilstm,0.9627522230148317,1
arso_drava,2160,30,DJF,0,2020-01-01,neural_bilstm,1.0539698600769043,1
arso_drava,2160,30,JJA,1,2020-06-12,neural_bilstm,1.1979814767837524,1
arso_drava,2160,30,SON,2,2020-11-22,neural_bilstm,0.5593411326408386,1
arso_drava,2160,30,MAM,3,2021-05-04,neural_bilstm,0.97219717502594,1
arso_drava,2160,30,SON,4,2021-10-14,neural_bilstm,1.1270653009414673,1
arso_drava,2160,90,DJF,0,2020-01-01,neural_bilstm,1.1819101572036743,1
arso_drava,2160,90,JJA,1,2020-06-04,neural_bilstm,1.3779075145721436,1
arso_drava,2160,90,SON,2,2020-11-07,neural_bilstm,0.7890438437461853,1
arso_drava,2160,90,MAM,3,2021-04-11,neural_bilstm,0.9731265306472778,1
arso_drava,2160,90,SON,4,2021-09-14,neural_bilstm,0.7616662979125977,1
arso_drava,2005,7,DJF,0,2020-01-01,neural_bilstm,3.60537338256836,2
arso_drava,2005,7,JJA,1,2020-06-14,neural_bilstm,1.824681282043457,2
arso_drava,2005,7,SON,2,2020-11-27,neural_bilstm,3.006150960922241,2
arso_drava,2005,7,MAM,3,2021-05-12,neural_bilstm,1.0823386907577517,2
arso_drava,2005,7,SON,4,2021-10-25,neural_bilstm,0.6505791544914246,2
arso_drava,2005,30,DJF,0,2020-01-01,neural_bilstm,4.281994342803955,2
arso_drava,2005,30,JJA,1,2020-06-12,neural_bilstm,1.2014968395233154,2
arso_drava,2005,30,SON,2,2020-11-22,neural_bilstm,3.0905416011810303,2
arso_drava,2005,30,MAM,3,2021-05-04,neural_bilstm,0.6138103008270264,2
arso_drava,2005,30,SON,4,2021-10-14,neural_bilstm,0.4367145895957947,2
arso_drava,2005,90,DJF,0,2020-01-01,neural_bilstm,2.8418068885803223,2
arso_drava,2005,90,JJA,1,2020-06-04,neural_bilstm,0.7555001378059387,2
arso_drava,2005,90,SON,2,2020-11-07,neural_bilstm,3.476552724838257,2
arso_drava,2005,90,MAM,3,2021-04-11,neural_bilstm,0.8211161494255066,2
arso_drava,2005,90,SON,4,2021-09-14,neural_bilstm,1.178804636001587,2
arso_drava,2150,7,DJF,0,2020-01-01,neural_bilstm,7.928426265716553,2
arso_drava,2150,7,JJA,1,2020-06-14,neural_bilstm,3.911010980606079,2
arso_drava,2150,7,SON,2,2020-11-27,neural_bilstm,6.659214973449707,2
arso_drava,2150,7,MAM,3,2021-05-12,neural_bilstm,0.3934436440467834,2
arso_drava,2150,7,SON,4,2021-10-25,neural_bilstm,2.3283488750457764,2
arso_drava,2150,30,DJF,0,2020-01-01,neural_bilstm,8.258707046508789,2
arso_drava,2150,30,JJA,1,2020-06-12,neural_bilstm,5.005717277526856,2
arso_drava,2150,30,SON,2,2020-11-22,neural_bilstm,6.916140079498291,2
arso_drava,2150,30,MAM,3,2021-05-04,neural_bilstm,0.7211918234825134,2
arso_drava,2150,30,SON,4,2021-10-14,neural_bilstm,1.936007618904113,2
arso_drava,2150,90,DJF,0,2020-01-01,neural_bilstm,6.52742862701416,2
arso_drava,2150,90,JJA,1,2020-06-04,neural_bilstm,5.805026531219482,2
arso_drava,2150,90,SON,2,2020-11-07,neural_bilstm,6.52377462387085,2
arso_drava,2150,90,MAM,3,2021-04-11,neural_bilstm,2.529705762863159,2
arso_drava,2150,90,SON,4,2021-09-14,neural_bilstm,3.619118213653565,2
arso_drava,2160,7,DJF,0,2020-01-01,neural_bilstm,7.610920429229736,2
arso_drava,2160,7,JJA,1,2020-06-14,neural_bilstm,2.945788860321045,2
arso_drava,2160,7,SON,2,2020-11-27,neural_bilstm,6.561935424804688,2
arso_drava,2160,7,MAM,3,2021-05-12,neural_bilstm,0.9960162043571472,2
arso_drava,2160,7,SON,4,2021-10-25,neural_bilstm,2.077392816543579,2
arso_drava,2160,30,DJF,0,2020-01-01,neural_bilstm,7.429483413696289,2
arso_drava,2160,30,JJA,1,2020-06-12,neural_bilstm,3.948991537094116,2
arso_drava,2160,30,SON,2,2020-11-22,neural_bilstm,6.214292049407959,2
arso_drava,2160,30,MAM,3,2021-05-04,neural_bilstm,0.765288770198822,2
arso_drava,2160,30,SON,4,2021-10-14,neural_bilstm,1.877893328666687,2
arso_drava,2160,90,DJF,0,2020-01-01,neural_bilstm,5.212541580200195,2
arso_drava,2160,90,JJA,1,2020-06-04,neural_bilstm,4.339422702789307,2
arso_drava,2160,90,SON,2,2020-11-07,neural_bilstm,5.824816703796387,2
arso_drava,2160,90,MAM,3,2021-04-11,neural_bilstm,1.8595150709152224,2
arso_drava,2160,90,SON,4,2021-09-14,neural_bilstm,2.8711862564086914,2
arso_kamniska_bistrica,4400,7,DJF,0,2020-01-01,neural_bilstm,2.269012689590454,0
arso_kamniska_bistrica,4400,7,JJA,1,2020-06-14,neural_bilstm,0.3542825281620025,0
arso_kamniska_bistrica,4400,7,SON,2,2020-11-27,neural_bilstm,2.415303945541382,0
arso_kamniska_bistrica,4400,7,MAM,3,2021-05-12,neural_bilstm,0.3291709125041961,0
arso_kamniska_bistrica,4400,7,SON,4,2021-10-25,neural_bilstm,0.6241369843482971,0
arso_kamniska_bistrica,4400,30,DJF,0,2020-01-01,neural_bilstm,2.245112657546997,0
arso_kamniska_bistrica,4400,30,JJA,1,2020-06-12,neural_bilstm,1.1958760023117063,0
arso_kamniska_bistrica,4400,30,SON,2,2020-11-22,neural_bilstm,1.760305643081665,0
