level,value,cell
station_gap,0.9039810119754017,1_linear_pchip_boundary|2_seasonal_boundary_ridge
network,0.8787878787878788,1_linear_pchip_boundary|2_seasonal_boundary_ridge
station_gap,0.8394957076584004,1_linear_pchip_boundary|3_donor_covariance_ridge
network,0.8666666666666665,1_linear_pchip_boundary|3_donor_covariance_ridge
station_gap,0.8780697002527987,1_linear_pchip_boundary|4_xgboost
network,0.7696969696969697,1_linear_pchip_boundary|4_xgboost
station_gap,0.07510227936879017,1_linear_pchip_boundary|5_bilstm
network,0.6,1_linear_pchip_boundary|5_bilstm
station_gap,0.8446742598215249,2_seasonal_boundary_ridge|3_donor_covariance_ridge
network,0.8666666666666665,2_seasonal_boundary_ridge|3_donor_covariance_ridge
station_gap,0.8498883745362618,2_seasonal_boundary_ridge|4_xgboost
network,0.7454545454545454,2_seasonal_boundary_ridge|4_xgboost
station_gap,0.052638283205203126,2_seasonal_boundary_ridge|5_bilstm
network,0.5515151515151515,2_seasonal_boundary_ridge|5_bilstm
station_gap,0.8863759479956662,2_seasonal_boundary_ridge|1_linear_pchip_boundary
network,0.9515151515151514,2_seasonal_boundary_ridge|1_linear_pchip_boundary
station_gap,0.7672271627390843,3_donor_covariance_ridge|2_seasonal_boundary_ridge
network,0.7818181818181817,3_donor_covariance_ridge|2_seasonal_boundary_ridge
station_gap,0.849145572737122,3_donor_covariance_ridge|4_xgboost
network,0.7939393939393938,3_donor_covariance_ridge|4_xgboost
station_gap,0.10524659443420402,3_donor_covariance_ridge|5_bilstm
network,0.6,3_donor_covariance_ridge|5_bilstm
station_gap,0.7738106963459075,3_donor_covariance_ridge|1_linear_pchip_boundary
network,0.8787878787878788,3_donor_covariance_ridge|1_linear_pchip_boundary
station_gap,0.9042647493351721,4_xgboost|2_seasonal_boundary_ridge
network,0.8787878787878788,4_xgboost|2_seasonal_boundary_ridge
station_gap,0.898380313124095,4_xgboost|3_donor_covariance_ridge
network,0.8060606060606059,4_xgboost|3_donor_covariance_ridge
station_gap,0.3526802439718863,4_xgboost|5_bilstm
network,0.5393939393939393,4_xgboost|5_bilstm
station_gap,0.880802882563446,4_xgboost|1_linear_pchip_boundary
network,0.8181818181818182,4_xgboost|1_linear_pchip_boundary
station_gap,0.28196820897033514,5_bilstm|2_seasonal_boundary_ridge
network,0.2833333333333333,5_bilstm|2_seasonal_boundary_ridge
station_gap,0.1872430900070872,5_bilstm|3_donor_covariance_ridge
network,0.39999999999999997,5_bilstm|3_donor_covariance_ridge
station_gap,0.1016319414673183,5_bilstm|4_xgboost
network,0.6,5_bilstm|4_xgboost
station_gap,0.19038364438347288,5_bilstm|1_linear_pchip_boundary
network,0.5272727272727272,5_bilstm|1_linear_pchip_boundary
