source_family,target_family,metric,value
2_seasonal_boundary_ridge,2_seasonal_boundary_ridge,n_placements,1840.0
2_seasonal_boundary_ridge,3_donor_covariance_ridge,station_gap_spearman,0.8446742598215249
2_seasonal_boundary_ridge,3_donor_covariance_ridge,network_spearman,0.8666666666666665
2_seasonal_boundary_ridge,3_donor_covariance_ridge,station_gap_slope,0.4968234018812629
2_seasonal_boundary_ridge,3_donor_covariance_ridge,network_slope,0.5407578169606971
2_seasonal_boundary_ridge,3_donor_covariance_ridge,n_units,92.0
2_seasonal_boundary_ridge,3_donor_covariance_ridge,n_networks,10.0
2_seasonal_boundary_ridge,3_donor_covariance_ridge,n_placements,1840.0
2_seasonal_boundary_ridge,4_xgboost,station_gap_spearman,0.8498883745362618
2_seasonal_boundary_ridge,4_xgboost,network_spearman,0.7454545454545454
2_seasonal_boundary_ridge,4_xgboost,station_gap_slope,0.6893458714057391
2_seasonal_boundary_ridge,4_xgboost,network_slope,0.5913867736781353
2_seasonal_boundary_ridge,4_xgboost,n_units,143.0
2_seasonal_boundary_ridge,4_xgboost,n_networks,10.0
2_seasonal_boundary_ridge,4_xgboost,n_placements,2111.0
2_seasonal_boundary_ridge,5_bilstm,station_gap_spearman,0.052638283205203126
2_seasonal_boundary_ridge,5_bilstm,network_spearman,0.5515151515151515
2_seasonal_boundary_ridge,5_bilstm,station_gap_slope,0.3495517711091647
2_seasonal_boundary_ridge,5_bilstm,network_slope,2.252215311926672
2_seasonal_boundary_ridge,5_bilstm,n_units,117.0
2_seasonal_boundary_ridge,5_bilstm,n_networks,10.0
2_seasonal_boundary_ridge,5_bilstm,n_placements,261.0
2_seasonal_boundary_ridge,1_linear_pchip_boundary,station_gap_spearman,0.8863759479956662
2_seasonal_boundary_ridge,1_linear_pchip_boundary,network_spearman,0.9515151515151514
2_seasonal_boundary_ridge,1_linear_pchip_boundary,station_gap_slope,0.9666889716100978
2_seasonal_boundary_ridge,1_linear_pchip_boundary,network_slope,0.8123837458444172
2_seasonal_boundary_ridge,1_linear_pchip_boundary,n_units,143.0
2_seasonal_boundary_ridge,1_linear_pchip_boundary,n_networks,10.0
2_seasonal_boundary_ridge,1_linear_pchip_boundary,n_placements,2111.0
3_donor_covariance_ridge,2_seasonal_boundary_ridge,station_gap_spearman,0.7672271627390843
3_donor_covariance_ridge,2_seasonal_boundary_ridge,network_spearman,0.7818181818181817
3_donor_covariance_ridge,2_seasonal_boundary_ridge,station_gap_slope,0.7917776662782124
3_donor_covariance_ridge,2_seasonal_boundary_ridge,network_slope,0.7264129598314781
3_donor_covariance_ridge,2_seasonal_boundary_ridge,n_units,92.0
3_donor_covariance_ridge,2_seasonal_boundary_ridge,n_networks,10.0
3_donor_covariance_ridge,2_seasonal_boundary_ridge,n_placements,1840.0
3_donor_covariance_ridge,3_donor_covariance_ridge,station_gap_spearman,0.9002358090717137
3_donor_covariance_ridge,3_donor_covariance_ridge,network_spearman,0.9636363636363635
3_donor_covariance_ridge,3_donor_covariance_ridge,station_gap_slope,0.7356838299995392
3_donor_covariance_ridge,3_donor_covariance_ridge,network_slope,0.7412713239389765
3_donor_covariance_ridge,3_donor_covariance_ridge,n_units,92.0
3_donor_covariance_ridge,3_donor_covariance_ridge,n_networks,10.0
3_donor_covariance_ridge,3_donor_covariance_ridge,n_placements,1840.0
3_donor_covariance_ridge,4_xgboost,station_gap_spearman,0.849145572737122
3_donor_covariance_ridge,4_xgboost,network_spearman,0.7939393939393938
3_donor_covariance_ridge,4_xgboost,station_gap_slope,0.9082047481901779
3_donor_covariance_ridge,4_xgboost,network_slope,0.6910044506469224
3_donor_covariance_ridge,4_xgboost,n_units,143.0
3_donor_covariance_ridge,4_xgboost,n_networks,10.0
3_donor_covariance_ridge,4_xgboost,n_placements,2111.0
3_donor_covariance_ridge,5_bilstm,station_gap_spearman,0.10524659443420402
3_donor_covariance_ridge,5_bilstm,network_spearman,0.6
3_donor_covariance_ridge,5_bilstm,station_gap_slope,0.5715390263516431
3_donor_covariance_ridge,5_bilstm,network_slope,2.6302867456660404
3_donor_covariance_ridge,5_bilstm,n_units,117.0
3_donor_covariance_ridge,5_bilstm,n_networks,10.0
3_donor_covariance_ridge,5_bilstm,n_placements,261.0
3_donor_covariance_ridge,1_linear_pchip_boundary,station_gap_spearman,0.7738106963459075
3_donor_covariance_ridge,1_linear_pchip_boundary,network_spearman,0.8787878787878788
3_donor_covariance_ridge,1_linear_pchip_boundary,station_gap_slope,1.1378459597322779
3_donor_covariance_ridge,1_linear_pchip_boundary,network_slope,0.7868776752029991
3_donor_covariance_ridge,1_linear_pchip_boundary,n_units,143.0
3_donor_covariance_ridge,1_linear_pchip_boundary,n_networks,10.0
3_donor_covariance_ridge,1_linear_pchip_boundary,n_placements,2111.0
4_xgboost,2_seasonal_boundary_ridge,station_gap_spearman,0.9042647493351721
4_xgboost,2_seasonal_boundary_ridge,network_spearman,0.8787878787878788
4_xgboost,2_seasonal_boundary_ridge,station_gap_slope,0.933669554400039
4_xgboost,2_seasonal_boundary_ridge,network_slope,0.6582393207709399
4_xgboost,2_seasonal_boundary_ridge,n_units,142.0
4_xgboost,2_seasonal_boundary_ridge,n_networks,10.0
4_xgboost,2_seasonal_boundary_ridge,n_placements,2840.0
4_xgboost,3_donor_covariance_ridge,station_gap_spearman,0.898380313124095
4_xgboost,3_donor_covariance_ridge,network_spearman,0.8060606060606059
4_xgboost,3_donor_covariance_ridge,station_gap_slope,0.755782164348402
4_xgboost,3_donor_covariance_ridge,network_slope,0.6583207051233068
4_xgboost,3_donor_covariance_ridge,n_units,142.0
4_xgboost,3_donor_covariance_ridge,n_networks,10.0
4_xgboost,3_donor_covariance_ridge,n_placements,2840.0
4_xgboost,4_xgboost,station_gap_spearman,0.9395539906103285
4_xgboost,4_xgboost,network_spearman,0.9515151515151514
4_xgboost,4_xgboost,station_gap_slope,1.01385033300056
4_xgboost,4_xgboost,network_slope,0.7675104975870408
4_xgboost,4_xgboost,n_units,143.0
4_xgboost,4_xgboost,n_networks,10.0
4_xgboost,4_xgboost,n_placements,2836.0
4_xgboost,5_bilstm,station_gap_spearman,0.3526802439718863
4_xgboost,5_bilstm,network_spearman,0.5393939393939393
4_xgboost,5_bilstm,station_gap_slope,1.6753561101636618
4_xgboost,5_bilstm,network_slope,4.3283504785099325
4_xgboost,5_bilstm,n_units,117.0
4_xgboost,5_bilstm,n_networks,10.0
4_xgboost,5_bilstm,n_placements,351.0
4_xgboost,1_linear_pchip_boundary,station_gap_spearman,0.880802882563446
4_xgboost,1_linear_pchip_boundary,network_spearman,0.8181818181818182
4_xgboost,1_linear_pchip_boundary,station_gap_slope,1.2608033982528182
4_xgboost,1_linear_pchip_boundary,network_slope,0.7703637780324344
4_xgboost,1_linear_pchip_boundary,n_units,143.0
4_xgboost,1_linear_pchip_boundary,n_networks,10.0
4_xgboost,1_linear_pchip_boundary,n_placements,2836.0
5_bilstm,2_seasonal_boundary_ridge,station_gap_spearman,0.28196820897033514
5_bilstm,2_seasonal_boundary_ridge,network_spearman,0.2833333333333333
5_bilstm,2_seasonal_boundary_ridge,station_gap_slope,0.15687653417487757
5_bilstm,2_seasonal_boundary_ridge,network_slope,0.09053307817169727
5_bilstm,2_seasonal_boundary_ridge,n_units,84.0
5_bilstm,2_seasonal_boundary_ridge,n_networks,9.0
5_bilstm,2_seasonal_boundary_ridge,n_placements,1680.0
5_bilstm,3_donor_covariance_ridge,station_gap_spearman,0.1872430900070872
5_bilstm,3_donor_covariance_ridge,network_spearman,0.39999999999999997
5_bilstm,3_donor_covariance_ridge,station_gap_slope,0.11385358657628196
5_bilstm,3_donor_covariance_ridge,network_slope,0.17477717435207923
5_bilstm,3_donor_covariance_ridge,n_units,84.0
5_bilstm,3_donor_covariance_ridge,n_networks,9.0
5_bilstm,3_donor_covariance_ridge,n_placements,1680.0
5_bilstm,4_xgboost,station_gap_spearman,0.1016319414673183
5_bilstm,4_xgboost,network_spearman,0.6
5_bilstm,4_xgboost,station_gap_slope,0.055230336974676476
5_bilstm,4_xgboost,network_slope,0.09771956232869833
5_bilstm,4_xgboost,n_units,108.0
5_bilstm,4_xgboost,n_networks,10.0
5_bilstm,4_xgboost,n_placements,1763.0
5_bilstm,5_bilstm,station_gap_spearman,0.31689007021254295
5_bilstm,5_bilstm,network_spearman,0.6848484848484848
5_bilstm,5_bilstm,station_gap_slope,0.5033162241027557
5_bilstm,5_bilstm,network_slope,0.8224300969224875
5_bilstm,5_bilstm,n_units,108.0
5_bilstm,5_bilstm,n_networks,10.0
5_bilstm,5_bilstm,n_placements,262.0
5_bilstm,1_linear_pchip_boundary,station_gap_spearman,0.19038364438347288
5_bilstm,1_linear_pchip_boundary,network_spearman,0.5272727272727272
5_bilstm,1_linear_pchip_boundary,station_gap_slope,0.09155385504537637
5_bilstm,1_linear_pchip_boundary,network_slope,0.08115181797006438
5_bilstm,1_linear_pchip_boundary,n_units,108.0
5_bilstm,1_linear_pchip_boundary,n_networks,10.0
5_bilstm,1_linear_pchip_boundary,n_placements,1763.0
4_xgboost,6_air2stream,station_gap_spearman,0.17261563230947377
4_xgboost,6_air2stream,network_spearman,0.2380952380952381
4_xgboost,6_air2stream,station_gap_slope,0.022943815055108348
4_xgboost,6_air2stream,network_slope,0.054904998251517144
4_xgboost,6_air2stream,n_units,89.0
4_xgboost,6_air2stream,n_networks,8.0
4_xgboost,6_air2stream,n_placements,89.0
