seed,station_gap_spearman_vs_seed_average,network_spearman_vs_seed_average
0,0.6306267684129296,0.8181818181818182
1,0.761677479588823,0.8181818181818182
2,0.7608677012775443,0.8666666666666665
pair_0_1,0.4159688282984176,
pair_0_2,0.13942477159488217,
pair_1_2,0.4336410490916192,
