source_family,1_linear_pchip_boundary,2_seasonal_boundary_ridge,3_donor_covariance_ridge,4_xgboost,5_bilstm,6_air2stream
1_linear_pchip_boundary,0.9515151515151514,0.8787878787878788,0.8666666666666665,0.7696969696969697,0.6,
1_pchip_record_variant,0.9878787878787878,0.8909090909090909,0.7575757575757575,0.8060606060606059,0.24848484848484845,
2_seasonal_boundary_ridge,0.9515151515151514,0.8303030303030302,0.8666666666666665,0.7454545454545454,0.5515151515151515,
3_donor_covariance_ridge,0.8787878787878788,0.7818181818181817,0.9636363636363635,0.7939393939393938,0.6,
4_xgboost,0.8181818181818182,0.8787878787878788,0.8060606060606059,0.9515151515151514,0.5393939393939393,0.2380952380952381
5_bilstm,0.5272727272727272,0.2833333333333333,0.39999999999999997,0.6,0.6848484848484848,
