network_id,seed,epoch,train_loss,validation_loss
arso_drava,0,1,0.8544285893440247,0.4686698317527771
arso_drava,0,2,0.7406952877839407,0.4629126787185669
arso_drava,0,3,0.8303618629773458,0.4587045907974243
arso_drava,0,4,0.8155111273129781,0.4532477259635925
arso_drava,0,5,0.8026046951611837,0.447472333908081
arso_drava,0,6,0.7594056924184164,0.4416166245937347
arso_drava,0,7,0.7835981249809265,0.4350821375846863
arso_drava,0,8,0.7282622655232748,0.4284714162349701
arso_drava,0,9,0.7125533521175385,0.4205142855644226
arso_drava,0,10,0.7126824657122294,0.4115649461746216
arso_drava,0,11,0.7185357213020325,0.4035968482494354
arso_drava,0,12,0.6293770869572958,0.3905862867832184
arso_drava,0,13,0.6662437518437704,0.3782204091548919
arso_drava,0,14,0.6644564469655355,0.3649390637874603
arso_drava,0,15,0.6236464977264404,0.3489192724227905
arso_drava,0,16,0.6131373941898346,0.3325166702270508
arso_drava,0,17,0.5829607645670573,0.3161509931087494
arso_drava,0,18,0.5483048955599467,0.2996704876422882
arso_drava,0,19,0.5079075495402018,0.2907078266143799
arso_drava,0,20,0.5386559863885244,0.2852552831172943
arso_drava,0,21,0.4399560292561849,0.2793819308280945
arso_drava,0,22,0.4744730790456136,0.2760664224624634
arso_drava,0,23,0.4233615895112355,0.2695030272006988
arso_drava,0,24,0.4602938592433929,0.2564961612224579
arso_drava,0,25,0.3780247171719869,0.2391910851001739
arso_drava,0,26,0.3083453377087911,0.2220932990312576
arso_drava,0,27,0.3146851559480031,0.2033171653747558
arso_drava,0,28,0.3496974060932795,0.185283675789833
arso_drava,0,29,0.2758509218692779,0.1639634370803833
arso_drava,0,30,0.2732421408096949,0.1443229913711547
arso_drava,0,31,0.2384641468524933,0.1297126114368438
arso_drava,0,32,0.2293873677651087,0.1223537921905517
arso_drava,0,33,0.2221373965342839,0.1199481189250946
arso_drava,0,34,0.2035428831974665,0.1190822422504425
arso_drava,0,35,0.2347303628921508,0.1169675067067146
arso_drava,0,36,0.2258323480685552,0.1178169026970863
arso_drava,0,37,0.1959466139475504,0.119499571621418
arso_drava,0,38,0.1874719460805257,0.119280144572258
arso_drava,0,39,0.19827368358771,0.1149666905403137
arso_drava,0,40,0.1776419232288996,0.1139993071556091
arso_drava,1,1,0.7053338289260864,0.5167360901832581
arso_drava,1,2,0.7258238395055135,0.5113634467124939
arso_drava,1,3,0.6838769515355428,0.5048492550849915
arso_drava,1,4,0.7005823850631714,0.4969528615474701
arso_drava,1,5,0.6629652082920074,0.4887770712375641
arso_drava,1,6,0.7189643979072571,0.4801411032676697
arso_drava,1,7,0.6188762982686361,0.4708186388015747
arso_drava,1,8,0.6897015770276388,0.4610707759857178
arso_drava,1,9,0.6238480707009634,0.4510173201560974
arso_drava,1,10,0.6324267288049062,0.4404688775539398
arso_drava,1,11,0.6352518598238627,0.4286769330501556
arso_drava,1,12,0.5785338381926218,0.4167915284633636
arso_drava,1,13,0.563333253065745,0.4050559103488922
arso_drava,1,14,0.5712573329607645,0.3930011689662933
arso_drava,1,15,0.5108962456385294,0.3809904754161834
arso_drava,1,16,0.525682787100474,0.3681701123714447
arso_drava,1,17,0.5089738567670187,0.355377733707428
arso_drava,1,18,0.4671327471733093,0.3424820899963379
arso_drava,1,19,0.448800931374232,0.3291566669940948
arso_drava,1,20,0.4032689233620961,0.3136734962463379
arso_drava,1,21,0.4285152753194173,0.2980336248874664
arso_drava,1,22,0.3826303978761037,0.2819008827209472
arso_drava,1,23,0.3769558171431224,0.2637288272380829
arso_drava,1,24,0.3345230122407277,0.2459425330162048
arso_drava,1,25,0.3170889963706334,0.2372250705957412
arso_drava,1,26,0.3007148206233978,0.2341844588518142
arso_drava,1,27,0.2883033851782481,0.2325167059898376
arso_drava,1,28,0.2703428864479065,0.2321987450122833
arso_drava,1,29,0.2503090798854828,0.2322626709938049
arso_drava,1,30,0.2488734573125839,0.2330543547868728
arso_drava,1,31,0.2408919483423233,0.2338053882122039
arso_drava,1,32,0.2273733566204706,0.2325136661529541
arso_drava,1,33,0.2215910752614339,0.2329016029834747
arso_drava,1,34,0.2163064082463582,0.2294381856918335
arso_drava,1,35,0.2180446535348892,0.2259551137685775
arso_drava,1,36,0.2077391843001047,0.2208884954452514
arso_drava,1,37,0.2075213541587194,0.2146397531032562
arso_drava,1,38,0.1635716135303179,0.2111208587884903
arso_drava,1,39,0.1832346866528193,0.2098788321018219
arso_drava,1,40,0.1801292945941289,0.2055598199367523
arso_drava,2,1,0.6957303682963053,0.8218443989753723
arso_drava,2,2,0.7368465761343638,0.8068092465400696
arso_drava,2,3,0.8053491512934366,0.7902166843414307
arso_drava,2,4,0.7967477838198344,0.7747285962104797
arso_drava,2,5,0.8145927389462789,0.7600805163383484
arso_drava,2,6,0.7501638134320577,0.7448121905326843
arso_drava,2,7,0.799277683099111,0.7285396456718445
arso_drava,2,8,0.7339908679326376,0.7111566662788391
arso_drava,2,9,0.7764992713928223,0.6940929889678955
arso_drava,2,10,0.7177430987358093,0.6737444400787354
arso_drava,2,11,0.7463214695453644,0.6482729911804199
arso_drava,2,12,0.7029534379641215,0.6243796348571777
arso_drava,2,13,0.6288447082042694,0.5971791744232178
arso_drava,2,14,0.5781751970450083,0.567432165145874
arso_drava,2,15,0.6470195154349009,0.5376462340354919
arso_drava,2,16,0.6229137480258942,0.5077860355377197
arso_drava,2,17,0.5145059327284495,0.4754630327224731
arso_drava,2,18,0.5842731098333994,0.4442949593067169
arso_drava,2,19,0.5635074774424235,0.4110651016235351
arso_drava,2,20,0.5479133129119873,0.3809544742107391
arso_drava,2,21,0.5169258316357931,0.3527797758579254
arso_drava,2,22,0.5335801144440969,0.3255631029605865
arso_drava,2,23,0.4916478196779887,0.304992139339447
arso_drava,2,24,0.3949524462223053,0.2929975092411041
arso_drava,2,25,0.4215039908885956,0.2929964065551758
arso_drava,2,26,0.3884290754795074,0.3006054162979126
arso_drava,2,27,0.3996167729298274,0.3120854794979095
arso_drava,2,28,0.4045635064442952,0.3221412301063537
arso_drava,2,29,0.4003517429033915,0.3336955308914184
arso_drava,2,30,0.3773081004619598,0.3443118333816528
arso_drava,2,31,0.3430049121379852,0.3496886789798736
arso_kamniska_bistrica,0,1,0.8901519179344177,0.3580631911754608
arso_kamniska_bistrica,0,2,0.8341074585914612,0.3477454483509063
arso_kamniska_bistrica,0,3,0.8411578337351481,0.337880939245224
arso_kamniska_bistrica,0,4,0.9188966949780782,0.3275852501392364
arso_kamniska_bistrica,0,5,0.8690232833226522,0.3178177773952484
arso_kamniska_bistrica,0,6,0.7682254910469055,0.3084147274494171
arso_kamniska_bistrica,0,7,0.7970067063967387,0.2980505526065826
