level,diagonal_mean,diagonal_median,diagonal_n,off_diagonal_mean,off_diagonal_median,off_diagonal_n,mean_gap
network,0.8763636363636362,0.9515151515151514,5,0.7068939393939393,0.7757575757575756,20,0.16946969696969694
station_gap,0.7953218920899363,0.9033491053126397,5,0.5811505332446589,0.806653202002154,20,0.21417135884527738
